uEst,uVal,yEst,yVal,Ts
3.2567,0.97619,5.205,4.9728,4
3.2466,0.99921,5.2154,4.9722,
3.2309,1.0172,5.2215,4.9703,
3.2097,1.0318,5.2142,4.988,
3.1836,1.0456,5.2001,4.9825,
3.1531,1.0624,5.2309,4.9685,
3.1194,1.0861,5.2163,4.9706,
3.084,1.121,5.2081,4.9355,
3.0485,1.1704,5.2041,4.9041,
3.0148,1.2371,5.2178,4.815,
2.9851,1.3224,5.2074,4.7402,
2.9612,1.4264,5.1925,4.667,
2.9449,1.5476,5.1968,4.5742,
2.9375,1.6834,5.2334,4.4698,
2.9401,1.8297,5.2074,4.4201,
2.9528,1.9817,5.2358,4.3481,
2.9754,2.1343,5.2544,4.2705,
3.007,2.2822,5.2789,4.1982,
3.046,2.4203,5.2615,4.1234,
3.0903,2.5445,5.3027,4.0688,
3.1373,2.6513,5.3057,4.0255,
3.1844,2.7388,5.3338,3.9785,
3.2285,2.8057,5.3384,3.9583,
3.267,2.8524,5.3582,3.911,
3.2973,2.88,5.4083,3.9196,
3.3172,2.8908,5.4302,3.865,
3.3253,2.8876,5.4607,3.8518,
3.3208,2.8734,5.4858,3.8354,
3.3035,2.8517,5.4839,3.8518,
3.2741,2.8255,5.5303,3.8183,
3.234,2.798,5.6072,3.8491,
3.1853,2.7713,5.6323,3.846,
3.1306,2.7475,5.678,3.8164,
3.073,2.7278,5.6918,3.8528,
3.0156,2.7127,5.7415,3.8335,
2.9615,2.7023,5.7919,3.8332,
2.9136,2.6959,5.8083,3.8354,
2.8744,2.6927,5.8318,3.836,
2.8456,2.691,5.8444,3.8674,
2.8282,2.6894,5.921,3.8323,
2.8222,2.6861,5.8975,3.864,
2.827,2.6792,5.9515,3.8637,
2.8405,2.6674,5.9539,3.8531,
2.8604,2.6491,5.9414,3.8808,
2.8834,2.6235,5.9979,3.8695,
2.906,2.5902,6,3.8723,
2.9242,2.5492,5.9976,3.8698,
2.9345,2.5014,6.0317,3.8732,
2.9336,2.4481,6.0085,3.8979,
2.919,2.3911,6.0235,3.8759,
2.8888,2.333,6.0488,3.9074,
2.8425,2.2765,6.0537,3.8958,
2.7805,2.2245,6.0488,3.9074,
2.7043,2.1798,6.076,3.9098,
2.6167,2.1451,6.0797,3.8994,
2.521,2.1225,6.0684,3.9089,
2.4214,2.1137,6.0537,3.8787,
2.3222,2.1194,6.0586,3.8705,
2.2277,2.1397,6.043,3.8924,
2.1421,2.1737,6.0598,3.8833,
2.0688,2.2198,6.0757,3.875,
2.0103,2.2759,6.0671,3.8689,
1.9679,2.3395,6.054,3.8628,
1.9422,2.4078,6.0833,3.8927,
1.9322,2.4781,6.0467,3.886,
1.9361,2.5478,6.054,3.8695,
1.9511,2.6149,6.011,3.8808,
1.974,2.6779,6.0198,3.8454,
2.0009,2.7355,5.9374,3.8616,
2.0284,2.7874,5.8636,3.8601,
2.053,2.8332,5.8032,3.8701,
2.072,2.8732,5.6854,3.8753,
2.0833,2.9073,5.606,3.8714,
2.0858,2.9356,5.5196,3.8808,
2.0793,2.9579,5.4394,3.8515,
2.0648,2.9737,5.317,3.8628,
2.0438,2.9821,5.2737,3.8662,
2.0185,2.9818,5.1821,3.8622,
1.9914,2.9716,5.1211,3.8988,
1.9654,2.9502,5.021,3.9019,
1.943,2.9169,4.9358,3.9004,
1.9264,2.8711,4.8623,3.904,
1.9172,2.8133,4.8251,3.9174,
1.9162,2.7448,4.7655,3.9019,
1.9236,2.6681,4.6853,3.9092,
1.9388,2.5862,4.6276,3.9547,
1.9603,2.5031,4.5409,3.9409,
1.9862,2.4233,4.4704,3.9437,
2.0144,2.3511,4.4363,3.9776,
2.0424,2.2906,4.3642,3.9864,
2.068,2.2453,4.312,3.9712,
2.089,2.2173,4.2535,3.9898,
2.104,2.2075,4.2412,3.9931,
2.1119,2.2151,4.1958,3.9596,
2.1124,2.2378,4.1347,3.9913,
2.1057,2.2721,4.0938,3.9706,
2.0928,2.3134,4.0728,3.9956,
2.075,2.3566,4.0328,3.9883,
2.0543,2.3966,3.9934,3.969,
2.0326,2.4288,3.933,3.9696,
2.0119,2.4501,3.9077,3.9648,
1.9945,2.4585,3.8543,3.9666,
1.9821,2.454,3.8305,3.9699,
1.9764,2.4387,3.8064,3.9861,
1.9786,2.4162,3.7725,3.9721,
1.9896,2.3919,3.7188,3.9648,
2.01,2.3718,3.6843,3.9651,
2.0402,2.3628,3.6251,3.9568,
2.0802,2.371,3.6202,3.9663,
2.1299,2.4018,3.5598,3.9672,
2.1891,2.4592,3.5561,3.9385,
