x,muTest,muModel,p3sigmaModel,m3sigmaModel
0.0,-0.035855,-0.06293331,0.6698867,-0.79575336
1.0,-0.042889,-0.010754697,0.2891366,-0.310646
2.0,-0.048677,-0.028839404,0.40843254,-0.46611136
3.0,-0.054401,-0.02363917,0.34799412,-0.39527246
4.0,-0.060569,0.0017334506,0.35305482,-0.34958792
5.0,-0.066274,0.08479554,0.37184608,-0.20225501
6.0,-0.070666,0.11990793,0.34815046,-0.1083346
7.0,-0.073361,0.19309087,0.35217202,0.03400971
8.0,-0.075075,0.26563314,0.39371678,0.13754949
9.0,-0.076605,0.27072707,0.40574107,0.13571307
10.0,-0.07792,0.17234284,0.31471208,0.029973596
11.0,-0.078116,0.082041234,0.2633192,-0.09923674
12.0,-0.076304,0.04969226,0.24457482,-0.1451903
13.0,-0.072691,0.11049042,0.25896773,-0.037986897
14.0,-0.068435,0.1805699,0.30074954,0.06039025
15.0,-0.06473,0.21466435,0.33243966,0.09688905
16.0,-0.061904,0.22457647,0.34189457,0.107258394
17.0,-0.059286,0.2105067,0.33055454,0.09045888
18.0,-0.056372,0.19609055,0.31567353,0.07650757
19.0,-0.053661,0.19550283,0.31621262,0.07479304
20.0,-0.051687,0.1522206,0.2679504,0.03649082
21.0,-0.050738,0.09680804,0.20329675,-0.009680681
22.0,-0.051002,0.06726052,0.1723112,-0.037790164
23.0,-0.052462,0.09696733,0.19744718,-0.003512524
24.0,-0.05529,0.1292494,0.23203662,0.026462168
25.0,-0.059538,0.057106506,0.1615783,-0.04736529
26.0,-0.064994,-0.02757079,0.08844822,-0.1435898
27.0,-0.070982,-0.11971724,0.015673056,-0.25510752
28.0,-0.076669,-0.13492543,0.026521012,-0.29637188
29.0,-0.082066,-0.02483786,0.094954915,-0.14463064
30.0,-0.088212,0.022552129,0.1315637,-0.08645944
31.0,-0.095536,0.04585853,0.14718667,-0.055469606
32.0,-0.1032,-0.009219198,0.101807356,-0.120245755
33.0,-0.10943,-0.12805733,0.020801842,-0.2769165
34.0,-0.11296,-0.18225321,-0.044814304,-0.31969213
35.0,-0.11404,-0.18440817,-0.0026574284,-0.3661589
36.0,-0.11395,-0.13338591,0.04836376,-0.3151356
37.0,-0.11289,-0.057547,0.092968956,-0.20806296
38.0,-0.11022,0.005645268,0.13701151,-0.12572096
39.0,-0.10569,0.051032785,0.16771467,-0.06564909
40.0,-0.098667,0.11611057,0.20983884,0.022382304
41.0,-0.089316,0.17796427,0.2545816,0.10134694
42.0,-0.078333,0.18171518,0.26043266,0.10299769
43.0,-0.065975,0.12652671,0.21267536,0.040378056
44.0,-0.052202,0.10619463,0.19451922,0.017870031
45.0,-0.036927,0.17559057,0.24765153,0.10352962
46.0,-0.020913,0.19297913,0.2874411,0.09851716
47.0,-0.005365,0.21825421,0.31699622,0.119512215
48.0,0.0089926,0.2062247,0.30133504,0.111114345
49.0,0.022209,0.16841228,0.257555,0.07926956
50.0,0.034562,0.15265425,0.23716326,0.06814523
51.0,0.045601,0.17761578,0.27825788,0.07697368
52.0,0.054421,0.17776503,0.2877524,0.06777765
53.0,0.060439,0.13967828,0.24122512,0.03813144
54.0,0.063651,0.03919108,0.13112152,-0.052739356
55.0,0.064202,-0.051403683,0.046777073,-0.14958444
56.0,0.062235,-0.073983006,0.025844194,-0.17381021
57.0,0.058029,-0.017386612,0.06892368,-0.1036969
58.0,0.051439,0.03511266,0.11176786,-0.041542534
59.0,0.042162,0.045268666,0.122268796,-0.03173146
60.0,0.030604,0.041139655,0.11679197,-0.03451266
61.0,0.017522,0.03497945,0.108520016,-0.03856111
62.0,0.0033014,0.018577928,0.09036494,-0.05320909
63.0,-0.011758,0.02271772,0.0998187,-0.054383256
64.0,-0.027281,-0.02351627,0.056293175,-0.10332571
65.0,-0.042878,-0.007919528,0.07013004,-0.0859691
66.0,-0.058291,0.07505389,0.14756683,0.0025409684
67.0,-0.073698,0.09655298,0.19411281,-0.0010068417
68.0,-0.089248,0.08736781,0.18510067,-0.010365061
69.0,-0.10442,0.01172709,0.098681584,-0.07522741
70.0,-0.11851,-0.039353807,0.04740141,-0.12610902
71.0,-0.13093,-0.107654445,-0.012583159,-0.20272574
72.0,-0.14104,-0.09700418,0.012269281,-0.20627764
73.0,-0.1492,-0.0068546343,0.07866999,-0.09237925
74.0,-0.15659,0.07798948,0.14727649,0.008702472
75.0,-0.16332,0.092429325,0.16694576,0.017912894
76.0,-0.16873,0.09013247,0.15851457,0.02175036
77.0,-0.17232,0.11657325,0.19057137,0.042575143
78.0,-0.17415,0.13264999,0.22360699,0.041692987
79.0,-0.17497,0.1325321,0.23526025,0.029803962
80.0,-0.17518,0.093425974,0.19257012,-0.0057181716
81.0,-0.17458,0.019998068,0.10770636,-0.06771023
82.0,-0.17326,-0.045677662,0.038301423,-0.12965675
83.0,-0.17144,-0.0043660947,0.07625263,-0.08498482
84.0,-0.16944,0.037615668,0.1270726,-0.051841263
85.0,-0.16781,0.05021351,0.16032761,-0.059900604
86.0,-0.1668,0.037252516,0.15472777,-0.08022274
87.0,-0.1663,0.0013406347,0.10807792,-0.10539665
88.0,-0.16631,-0.06995386,0.024336316,-0.16424403
