x,muTest,muModel,p3sigmaModel,m3sigmaModel
0.0,0.013777,-0.06293331,0.6698867,-0.79575336
1.0,0.015208,-0.0005863985,0.27675802,-0.2779308
2.0,0.016722,0.01776238,0.4112336,-0.37570882
3.0,0.0182,0.0330029,0.38968307,-0.32367724
4.0,0.01963,0.03056766,0.36657953,-0.30544418
5.0,0.020979,0.054055326,0.3592053,-0.25109464
6.0,0.022263,0.045730446,0.3076972,-0.21623632
7.0,0.023431,0.029006993,0.26439092,-0.20637693
8.0,0.024462,0.016691707,0.2439259,-0.2105425
9.0,0.025441,0.021840379,0.23250242,-0.18882166
10.0,0.026251,0.0001100803,0.19169797,-0.19147782
11.0,0.026906,0.0040724273,0.20619972,-0.19805487
12.0,0.027473,0.0014149403,0.1903344,-0.18750452
13.0,0.027896,0.0077127684,0.195702,-0.18027647
14.0,0.028208,0.009256039,0.18884592,-0.17033385
15.0,0.028415,0.007011749,0.17871973,-0.16469625
16.0,0.028567,0.0060717706,0.1793823,-0.16723874
17.0,0.028619,0.01116064,0.18676512,-0.16444384
18.0,0.028623,0.005006355,0.17824547,-0.16823275
19.0,0.028605,0.0139514,0.1867881,-0.15888529
20.0,0.02857,0.00017462994,0.16634177,-0.16599251
21.0,0.028516,0.0051368396,0.16143088,-0.15115722
22.0,0.028427,0.00047014875,0.15670215,-0.15576185
23.0,0.028415,0.0037259257,0.15651664,-0.14906478
24.0,0.028433,0.018582104,0.16879308,-0.13162887
25.0,0.028501,-0.0037964361,0.14439473,-0.15198761
26.0,0.028644,-0.005770997,0.1488695,-0.16041149
27.0,0.028838,0.0084387055,0.1547914,-0.13791399
28.0,0.029148,-0.013500608,0.13670385,-0.16370505
29.0,0.029539,-0.012431767,0.13123982,-0.15610336
30.0,0.030081,-0.008601156,0.13598557,-0.15318789
31.0,0.030738,0.0073757744,0.14120564,-0.12645409
32.0,0.031465,-0.012896775,0.119600385,-0.14539394
33.0,0.032332,-0.009205241,0.12913583,-0.1475463
34.0,0.033306,-0.0073984494,0.12489972,-0.13969663
35.0,0.034413,-0.00041470112,0.13295817,-0.13378757
36.0,0.035654,-0.009885422,0.11796675,-0.13773759
37.0,0.037011,-0.0036976275,0.12751369,-0.13490896
38.0,0.038484,-0.007644159,0.122958034,-0.13824636
39.0,0.040111,-0.0055565983,0.12222855,-0.13334174
40.0,0.041825,-0.010503926,0.11382236,-0.13483022
41.0,0.043673,-0.013876947,0.112271875,-0.14002576
42.0,0.045633,0.005862231,0.12874272,-0.11701826
43.0,0.047677,0.0038363861,0.12599877,-0.118325986
44.0,0.049852,0.0007378079,0.115991674,-0.11451606
45.0,0.052127,-0.012435515,0.10719537,-0.1320664
46.0,0.054472,-0.0051340624,0.11341817,-0.12368629
47.0,0.05691,0.007057928,0.1222231,-0.10810725
48.0,0.059437,0.01957758,0.13180292,-0.09264776
49.0,0.062069,0.030013764,0.1421711,-0.08214357
50.0,0.064802,0.026787426,0.14025879,-0.08668393
51.0,0.067577,0.04198226,0.15825635,-0.07429184
52.0,0.070415,0.04224959,0.15241227,-0.06791309
53.0,0.073377,0.045082126,0.15392092,-0.06375666
54.0,0.076353,0.0386593,0.14754315,-0.07022455
55.0,0.079401,0.047887627,0.15410656,-0.058331307
56.0,0.082518,0.04985028,0.15396336,-0.05426279
57.0,0.085712,0.04656676,0.15377599,-0.060642477
58.0,0.088987,0.055097114,0.16166753,-0.051473293
59.0,0.092294,0.065124854,0.17104977,-0.040800065
60.0,0.095653,0.0788779,0.18266243,-0.024906613
61.0,0.099082,0.08162713,0.18414986,-0.020895593
62.0,0.10256,0.07680404,0.17773694,-0.024128854
63.0,0.10607,0.117951125,0.21920073,0.016701512
64.0,0.10966,0.11279657,0.21246542,0.013127714
65.0,0.11332,0.124037415,0.22338024,0.024694592
66.0,0.11701,0.116619036,0.21409571,0.019142352
67.0,0.12076,0.12517892,0.22324032,0.027117513
68.0,0.12456,0.12252816,0.22127299,0.023783326
69.0,0.12835,0.12578814,0.22094563,0.030630648
70.0,0.13223,0.13507639,0.22976579,0.04038699
71.0,0.13616,0.13787399,0.23299696,0.04275103
72.0,0.1401,0.14751863,0.24561274,0.04942453
73.0,0.14409,0.15105565,0.24401684,0.058094457
74.0,0.1481,0.15598798,0.24814934,0.06382663
75.0,0.15213,0.16046154,0.25424573,0.06667736
76.0,0.1562,0.16129127,0.25256398,0.07001857
77.0,0.16025,0.15949062,0.2484823,0.07049893
78.0,0.16433,0.17405654,0.2627235,0.085389584
79.0,0.16839,0.170579,0.25956535,0.08159264
80.0,0.17243,0.18061611,0.2679779,0.09325433
81.0,0.17647,0.17697114,0.26610196,0.08784033
82.0,0.18045,0.17925712,0.26622844,0.0922858
83.0,0.18439,0.19376813,0.28391188,0.10362439
84.0,0.18832,0.18512823,0.275676,0.094580434
85.0,0.19217,0.18420815,0.27407035,0.09434595
86.0,0.19594,0.18732832,0.27625692,0.098399736
87.0,0.19965,0.19248025,0.27778482,0.10717566
88.0,0.20327,0.19090255,0.2777744,0.1040307
89.0,0.20679,0.1915509,0.27639273,0.106709056
90.0,0.21023,0.1930126,0.27751672,0.10850847
91.0,0.21359,0.20477484,0.2847577,0.12479198
92.0,0.21681,0.21238467,0.29688492,0.12788442
93.0,0.21996,0.20914556,0.2898466,0.12844454
94.0,0.22296,0.21187516,0.29163158,0.13211875
95.0,0.22584,0.21013395,0.29015386,0.13011405
96.0,0.22864,0.21487658,0.29373303,0.13602012
97.0,0.23129,0.22507873,0.30425626,0.1459012
98.0,0.23385,0.22340761,0.30194026,0.14487496
99.0,0.23628,0.2296749,0.307433,0.15191679
100.0,0.23858,0.2245154,0.30205974,0.14697105
101.0,0.24075,0.22875312,0.3046781,0.15282813
102.0,0.24286,0.22658159,0.30312434,0.15003884
103.0,0.24487,0.23023814,0.3047429,0.15573338
104.0,0.24675,0.23111914,0.30708206,0.15515622
105.0,0.24855,0.24523658,0.3191951,0.17127807
106.0,0.25023,0.23876543,0.31367147,0.1638594
107.0,0.25186,0.23643585,0.30928078,0.16359091
108.0,0.25337,0.2476942,0.31957206,0.17581633
109.0,0.2548,0.24102114,0.312776,0.16926628
110.0,0.25619,0.24037315,0.31327844,0.16746788
111.0,0.25749,0.24247625,0.3146028,0.17034972
112.0,0.25877,0.24311492,0.31554437,0.17068547
113.0,0.25995,0.2503165,0.3234766,0.17715637
114.0,0.26111,0.2557226,0.3277379,0.18370733
115.0,0.26219,0.25266227,0.3249342,0.18039033
116.0,0.26325,0.2543561,0.3264312,0.18228096
117.0,0.26431,0.25368607,0.3264076,0.18096454
118.0,0.26527,0.2569513,0.32944462,0.18445799
119.0,0.26624,0.2547962,0.32568902,0.18390338
120.0,0.26716,0.25676396,0.3275337,0.18599424
121.0,0.26804,0.25674358,0.32757282,0.18591432
122.0,0.26893,0.25747326,0.3275126,0.18743393
123.0,0.26977,0.2642942,0.3342187,0.1943697
124.0,0.2706,0.26627666,0.33499074,0.19756258
125.0,0.27141,0.26525563,0.33337992,0.19713134
126.0,0.27221,0.2696656,0.33711144,0.20221975
127.0,0.27301,0.27018562,0.3374534,0.20291784
128.0,0.27378,0.27057394,0.3377031,0.20344476
129.0,0.27452,0.28317514,0.35028434,0.21606596
130.0,0.27527,0.2809817,0.34765995,0.21430345
131.0,0.276,0.27963096,0.34743896,0.21182296
132.0,0.2767,0.27903715,0.34610155,0.21197274
133.0,0.27743,0.2748497,0.3413117,0.20838772
134.0,0.27813,0.28685638,0.35253844,0.22117433
135.0,0.27881,0.28623727,0.35191602,0.22055851
136.0,0.27948,0.2849571,0.35096583,0.2189484
137.0,0.28014,0.29061064,0.35787523,0.22334605
138.0,0.2808,0.29120392,0.35764256,0.22476527
139.0,0.28145,0.28810143,0.3551424,0.22106045
140.0,0.28205,0.28283682,0.34985626,0.21581739
141.0,0.28267,0.28488037,0.3517647,0.21799603
142.0,0.28329,0.2867536,0.3518923,0.2216149
143.0,0.28387,0.28616804,0.35189518,0.2204409
144.0,0.28446,0.28768742,0.35398525,0.22138959
145.0,0.28503,0.2890772,0.3544393,0.2237151
146.0,0.28557,0.2920964,0.3576802,0.22651263
147.0,0.2861,0.29374334,0.35936204,0.22812465
148.0,0.28664,0.30023867,0.36546057,0.23501676
149.0,0.28718,0.2953285,0.3596102,0.23104678
150.0,0.28771,0.29495138,0.35909027,0.2308125
151.0,0.28821,0.2939776,0.35926563,0.22868955
152.0,0.28872,0.29486105,0.35919803,0.23052406
153.0,0.28918,0.294364,0.35966468,0.22906332
154.0,0.28964,0.30091813,0.364255,0.23758125
155.0,0.2901,0.29789525,0.36029726,0.23549324
156.0,0.29055,0.29646435,0.35846114,0.23446757
157.0,0.291,0.3009334,0.36184567,0.24002112
158.0,0.29142,0.30116853,0.36172336,0.24061371
159.0,0.29185,0.30008286,0.36112455,0.23904118
160.0,0.29226,0.30367836,0.36459494,0.24276179
161.0,0.29267,0.30361754,0.36420825,0.24302682
162.0,0.29306,0.3033372,0.3644302,0.24224418
163.0,0.29345,0.3065096,0.3674155,0.24560374
164.0,0.29382,0.30939496,0.3697429,0.24904701
165.0,0.29419,0.31053108,0.37056142,0.25050074
166.0,0.29457,0.3117284,0.37156764,0.25188914
167.0,0.29492,0.31124905,0.37029245,0.25220564
168.0,0.29528,0.3119594,0.3715365,0.25238228
169.0,0.29564,0.31429926,0.37441105,0.25418746
170.0,0.29597,0.31600648,0.37570524,0.25630772
171.0,0.2963,0.3192197,0.3793589,0.25908053
172.0,0.29661,0.31934273,0.37948155,0.2592039
173.0,0.29692,0.31281468,0.37331787,0.2523115
174.0,0.29723,0.31670487,0.3774758,0.25593394
175.0,0.29751,0.32193518,0.38209736,0.261773
176.0,0.2978,0.32040566,0.38027266,0.26053867
177.0,0.29809,0.3165946,0.37639672,0.2567925
178.0,0.29836,0.3123444,0.3732277,0.25146112
179.0,0.29862,0.31868038,0.37873185,0.2586289
180.0,0.29892,0.31801206,0.37737957,0.25864455
181.0,0.29917,0.31966856,0.37908918,0.26024795
182.0,0.29942,0.31884584,0.378318,0.25937366
183.0,0.29965,0.3202303,0.37878948,0.26167113
184.0,0.2999,0.31824455,0.37622306,0.26026604
185.0,0.30015,0.31884876,0.37538296,0.26231456
186.0,0.30036,0.32113954,0.3770206,0.2652585
187.0,0.30058,0.31843475,0.37495118,0.2619183
188.0,0.3008,0.31814685,0.3745362,0.26175752
189.0,0.30099,0.31749687,0.37432167,0.26067206
190.0,0.30122,0.32373086,0.3800645,0.26739722
191.0,0.3014,0.320255,0.37757075,0.26293927
192.0,0.30158,0.32067338,0.3768733,0.26447344
193.0,0.30176,0.32030815,0.375674,0.2649423
194.0,0.30192,0.31877357,0.37457427,0.26297286
195.0,0.30212,0.3203131,0.3768443,0.2637819
196.0,0.3023,0.3200961,0.37640825,0.26378396
197.0,0.30244,0.32445303,0.38008308,0.26882297
198.0,0.30258,0.3326562,0.39016318,0.27514923
199.0,0.30269,0.3269198,0.38536337,0.26847622
200.0,0.30284,0.3257445,0.38374567,0.26774335
201.0,0.30296,0.32938612,0.38576913,0.2730031
202.0,0.30307,0.329286,0.38369367,0.27487835
203.0,0.30319,0.327846,0.3824896,0.2732024
204.0,0.3033,0.33053595,0.3850652,0.2760067
205.0,0.30339,0.32824358,0.38259068,0.2738965
