,0,1,2,3,4,5,6,7
best_epoch,155,200,225,285,245,225,270,195
total_epoch,185,230,255,315,275,255,300,225
train_time,248.76837158203125,415.36551570892334,503.3985300064087,675.4427435398102,638.5676305294037,639.4599688053131,801.5768413543701,1035.5052375793457
h_dim,80,80,80,80,80,80,80,80
z_dim,10,10,10,10,10,10,10,10
n_layers,1,1,1,1,1,1,1,1
seq_len_train,512,512,512,512,512,512,512,512
batch_size,128,128,128,128,128,128,128,128
lr_scheduler_nepochs,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
lr_scheduler_factor,10,10,10,10,10,10,10,10
model_param,107722,107722,107722,107722,107722,107722,107722,107722
marginal_likeli,-1.553956569664001,-1.6383880481240753,-1.4516742854325448,-1.326022735735399,-1.298969474184157,-1.41299622283567,-1.2934699653715525,-1.3753079806167614
vaf,50.65287092515732,37.351813139844424,60.203119050892404,74.02535243354707,74.99537912099564,67.83907150199435,77.6719254689192,73.00504858754442
rmse,[1.22728266],[1.38510159],[1.10538637],[0.8981445],[0.87861488],[0.99197949],[0.82711776],[0.90740719]
