,0,1,2,3,4,5,6,7
best_epoch,160,215,215,310,285,325,395,340
total_epoch,190,245,245,340,315,355,425,350
train_time,235.51455736160278,408.5600411891937,457.2718207836151,721.2994112968445,737.5761137008667,885.0173115730286,1127.3145861625671,1610.3584084510803
h_dim,60,60,60,60,60,60,60,60
z_dim,20,20,20,20,20,20,20,20
n_layers,1,1,1,1,1,1,1,1
seq_len_train,512,512,512,512,512,512,512,512
batch_size,128,128,128,128,128,128,128,128
lr_scheduler_nepochs,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
lr_scheduler_factor,10,10,10,10,10,10,10,10
model_param,93442,93442,93442,93442,93442,93442,93442,93442
marginal_likeli,-1.8383432975521137,-1.5168161345031606,-1.307952839704391,-1.2739275442988958,-1.2459110607440587,-1.2328639728018607,-1.1464182286425257,-1.2559929078902325
vaf,30.782011543700484,47.91685633876857,71.10215463725729,75.14445489919773,80.72493114219166,80.80382695035581,86.76764205273288,82.38655238300588
rmse,[1.45607693],[1.26319786],[0.94409936],[0.87265558],[0.76768871],[0.76861014],[0.63740615],[0.73380614]
