,0,1,2,3,4,5,6,7
best_epoch,155,175,280,290,420,395,425,350
total_epoch,185,205,310,320,450,425,455,380
train_time,261.91212916374207,393.94407057762146,653.7903048992157,755.4635999202728,1159.6353421211243,1173.6021234989166,1380.7137262821198,1986.6714062690735
h_dim,60,60,60,60,60,60,60,60
z_dim,20,20,20,20,20,20,20,20
n_layers,1,1,1,1,1,1,1,1
seq_len_train,512,512,512,512,512,512,512,512
batch_size,128,128,128,128,128,128,128,128
lr_scheduler_nepochs,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
lr_scheduler_factor,10,10,10,10,10,10,10,10
model_param,79835,79835,79835,79835,79835,79835,79835,79835
marginal_likeli,-1.859001697198141,-1.2699626857676762,-1.2877870789666082,-1.297321574772142,-1.329067361520833,-1.3837476605735328,-1.283229086338265,-1.4694049268008078
vaf,21.596365761243362,77.13711224301385,73.42179270894131,75.73315507977206,72.39889358746798,69.28062272909467,75.90102353751834,63.706498498668005
rmse,[1.54229882],[0.83820334],[0.90206002],[0.86110013],[0.92046834],[0.97193562],[0.85795442],[1.0564207]
