,0,1,2,3,4,5,6,7
best_epoch,150,190,225,335,405,430,410,335
total_epoch,180,220,255,365,435,460,440,365
train_time,193.721741437912,321.96364760398865,422.60161805152893,689.5986578464508,884.4872450828552,1002.1796276569366,1020.8695781230927,1469.1244835853577
h_dim,60,60,60,60,60,60,60,60
z_dim,20,20,20,20,20,20,20,20
n_layers,1,1,1,1,1,1,1,1
seq_len_train,512,512,512,512,512,512,512,512
batch_size,128,128,128,128,128,128,128,128
lr_scheduler_nepochs,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
lr_scheduler_factor,10,10,10,10,10,10,10,10
model_param,69282,69282,69282,69282,69282,69282,69282,69282
marginal_likeli,-1.8239559217066832,-1.2935927404089123,-1.2562897659975218,-1.4570170848472916,-1.2823199556604972,-1.2759038466418762,-1.2767524538240143,-1.2318746882295253
vaf,19.606875455230256,72.57993865555974,75.01303052933926,62.914473713654,75.52491580461155,75.6560385057747,75.78525447780949,78.65855837228001
rmse,[1.57440015],[0.9163552],[0.87232407],[1.06814674],[0.86659202],[0.86221477],[0.85975909],[0.80682544]
