,0,1,2,3,4,5,6,7
best_epoch,145,195,225,260,280,400,335,200
total_epoch,175,225,255,290,310,430,365,230
train_time,227.9364573955536,383.4196696281433,482.3358106613159,619.1593971252441,728.7933659553528,1092.944408416748,981.3639986515045,1058.5479793548584
h_dim,60,60,60,60,60,60,60,60
z_dim,20,20,20,20,20,20,20,20
n_layers,1,1,1,1,1,1,1,1
seq_len_train,512,512,512,512,512,512,512,512
batch_size,128,128,128,128,128,128,128,128
lr_scheduler_nepochs,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
lr_scheduler_factor,10,10,10,10,10,10,10,10
model_param,82702,82702,82702,82702,82702,82702,82702,82702
marginal_likeli,-1.8559199564357287,-1.6565904064483528,-1.5931557660401512,-1.2046759007353747,-1.2672606533898174,-1.317438987277369,-1.3749388666987112,-1.3276067996190348
vaf,12.220663140070076,37.12222315137787,41.92402374603925,80.63947042662433,76.68574079242627,73.31931143120359,63.37357796581953,68.452925585444
rmse,[1.63465131],[1.3800241],[1.32883017],[0.77115957],[0.84508186],[0.90723718],[1.06150748],[0.98344113]
